location,si,tree,age.base,dbh.cm,height
1,16,11,110,35.5,28.8
1,16,11,120,38,30.5
1,16,11,130,40.8,31.9
1,16,11,140,43.1,32.9
1,16,11,150,45.3,34.1
1,12,12,20,3.4,2.8
1,12,12,30,9.1,6.3
1,12,12,40,14.8,10
1,12,12,50,19.1,12.7
1,12,12,60,22,15.4
1,12,12,70,24.6,18.1
1,12,12,80,26.8,21.1
1,12,12,90,29.3,23.6
1,12,12,100,31.2,25.4
1,12,12,110,33,26.9
1,12,12,120,34.5,28.4
1,12,12,130,36,29.7
1,12,12,140,37.1,30.8
1,12,12,150,38.3,31.8
1,12,13,20,5.1,4.1
1,12,13,30,10.3,7.7
1,12,13,40,14.7,11.1
1,12,13,50,18.7,14.4
1,12,13,60,21.9,17.5
1,12,13,70,24.7,20.3
1,12,13,80,27.2,22.5
1,12,13,90,28.9,24.2
1,12,13,100,30.6,25.8
1,12,13,110,32.1,27.1
1,12,13,120,33.6,28.3
1,12,13,130,35.3,29.6
1,12,13,140,37,30.8
1,12,13,150,38.8,31.8
1,12,14,20,3.2,2.8
1,12,14,30,6.6,5.8
1,12,14,40,9.3,8.6
1,12,14,50,12,10.9
1,12,14,60,14.1,13
1,12,14,70,16.2,15.2
1,12,14,80,17.9,16.6
1,12,14,90,19.4,17.8
1,12,14,100,20.9,19.2
1,12,14,110,21.7,20.3
1,12,14,120,22.8,21
1,12,14,130,23.7,21.6
1,12,14,140,24.8,22.3
1,12,14,150,25.8,23
1,12,15,20,1.5,1.9
1,12,15,30,6.2,5
1,12,15,40,10.3,8.2
1,12,15,50,13.4,11
1,12,15,60,16.6,13.6
1,12,15,70,19.5,15.8
1,12,15,80,21.5,17.6
1,12,15,90,23.8,19.2
1,12,15,100,24.9,21
1,12,15,110,26.2,22.5
1,12,15,120,27.2,23.7
1,12,15,130,28.5,24.7
1,12,15,140,29.7,25.7
1,12,15,150,30.9,26.7
1,12,16,20,4.1,3
1,12,16,30,8.5,5.9
1,12,16,40,13.4,8.4
1,12,16,50,17,10.9
1,12,16,60,20,13.4
1,12,16,70,22.8,15.6
1,12,16,80,25.5,17.7
1,12,16,90,27.6,19.4
1,12,16,100,29.6,20.9
1,12,16,110,31.6,22.3
1,12,16,120,33,23.5
1,12,16,130,34.9,24.3
1,12,16,140,36.1,25
1,12,16,150,37.6,25.9
2,20,1,20,6.6,4.8
2,20,1,30,15.6,9.5
2,20,1,40,22.3,14.2
2,20,1,50,28.3,18.8
2,20,1,60,32.2,23.1
2,20,1,70,34.6,26.2
2,20,1,80,36.5,28.2
2,20,1,90,37.8,30.2
2,20,1,100,39.4,32.2
2,20,1,110,41,33.5
2,20,1,120,42.2,34.7
2,20,1,130,43.3,35.5
2,20,1,140,44.6,36.3
2,20,1,150,46.3,37.1
2,20,2,20,5.3,4
2,20,2,30,15.1,9.1
2,20,2,40,21.7,14.2
2,20,2,50,26.5,18.4
2,20,2,60,29.9,22.5
2,20,2,70,32.7,26
2,20,2,80,35,28.8
2,20,2,90,36.8,30.6
2,20,2,100,38.6,32.2
2,20,2,110,40.2,33.7
2,20,2,120,41.6,35
2,20,2,130,43.2,36.2
2,20,2,140,44.5,37.2
2,20,2,150,46,38.1
3,20,1,20,5.8,5
3,20,1,30,13.3,10
3,20,1,40,20.1,15.4
3,20,1,50,24.9,20.8
3,20,1,60,28.4,25.1
3,20,2,20,6.8,4.9
3,20,2,30,15,10.4
3,20,2,40,21.5,16
3,20,2,50,25.6,21.3
3,20,2,60,28.3,25.1
3,20,5,10,1.4,2
3,20,5,20,7,5.7
3,20,5,30,11.5,10.5
3,20,5,40,16.1,15.9
3,20,5,50,19.8,20.6
3,20,5,60,23.8,23.6
3,20,5,70,27.1,26.4
3,20,5,80,30.4,29.2
3,20,5,90,33.3,30.9
3,20,5,100,35.8,32.2
3,20,6,10,2,2.2
3,20,6,20,9.7,6.9
3,20,6,30,16.1,12.7
3,20,6,40,20.8,17.1
3,20,6,50,24.3,21.7
3,20,6,60,27.1,25.7
3,20,6,70,29.6,28.9
3,20,6,80,32,31.6
3,20,6,90,34.2,33.9
3,20,6,100,36.3,35.6
3,20,10,20,6.4,5.8
3,20,10,30,11.7,10.7
3,20,10,40,16.3,15.2
3,20,10,50,20.4,19.1
3,20,10,60,24.2,22.7
3,20,10,70,27.5,26.1
3,20,10,80,30.4,28
3,20,10,90,32.7,29.2
3,20,10,100,35.2,30.8
3,20,10,110,37.2,33.6
3,20,10,120,38.9,35.7
3,20,11,10,2.4,2.3
3,20,11,20,8.3,6.4
3,20,11,30,14.4,11.9
3,20,11,40,20.1,16.9
3,20,11,50,24.2,21.3
3,20,11,60,27.2,25.4
3,20,11,70,30,28.8
3,20,11,80,32.3,31.1
3,20,11,90,34.2,32.5
3,20,11,100,36.5,34
3,20,11,110,38.5,35.6
3,20,11,120,40.1,36.9
3,20,12,10,1.2,2
3,20,12,20,6.6,5.4
3,20,12,30,14.8,10.7
3,20,12,40,22.8,16.1
3,20,12,50,29,21
3,20,12,60,33.7,25.8
3,20,12,70,36.8,29.2
3,20,12,80,39.4,31.6
3,20,12,90,41.8,33.1
3,20,12,100,44,34.3
3,20,12,110,46.4,35.9
3,20,12,120,48.2,37.4
3,16,3,20,4,3.3
3,16,3,30,9.5,6.6
3,16,3,40,14.6,10.4
3,16,3,50,19.1,15
3,16,3,60,23.3,19.6
3,16,3,70,26.3,22.6
3,16,3,80,29,25.1
3,16,4,10,0.2,1.5
3,16,4,20,6.4,4.7
3,16,4,30,12.3,9.4
3,16,4,40,17.2,14.3
3,16,4,50,21,18.7
3,16,4,60,24.6,22.2
3,16,4,70,27.4,25.1
3,16,4,80,29.5,27.2
3,16,7,20,4,3.5
3,16,7,30,11,7.3
3,16,7,40,16.8,12
3,16,7,50,22.2,15.9
3,16,7,60,26,19.2
3,16,7,70,29,22.3
3,16,7,80,31.4,24.8
3,16,7,90,33.5,26.9
3,16,7,100,35.4,28.8
3,16,7,110,37.3,30.7
3,16,8,20,1.7,2.2
3,16,8,30,8.5,6.6
3,16,8,40,14,12.2
3,16,8,50,20.1,16.6
3,16,8,60,23.4,19.7
3,16,8,70,25.9,22.5
3,16,8,80,28,24.5
3,16,8,90,30.5,26.9
3,16,8,100,32.6,29
3,16,8,110,34.9,31.1
3,12,13,20,5.2,3.7
3,12,13,30,9.3,6.8
3,12,13,40,12.8,10.1
3,12,13,50,15.8,13.2
3,12,13,60,18.6,16.2
3,12,13,70,20.9,18.8
3,12,13,80,22.9,20.7
3,12,13,90,24.8,22.7
3,12,13,100,26.5,24.3
3,12,13,110,27.8,25.6
3,12,13,120,29.1,26.9
3,12,14,20,4.7,3.5
3,12,14,30,9.1,7
3,12,14,40,13.4,10.8
3,12,14,50,16.8,14.2
3,12,14,60,19.7,17
3,12,14,70,21.9,18.9
3,12,14,80,23.6,20.7
3,12,14,90,25.2,22.6
3,12,14,100,26.7,24.5
3,12,14,110,27.8,26.1
4,20,1,10,1.6,2.1
4,20,1,20,8.3,6.6
4,20,1,30,13.5,11.4
4,20,1,40,17.8,15.9
4,20,1,50,20.7,19.8
4,20,1,60,23.3,23.2
4,20,1,70,25.5,24.9
4,20,2,10,1.5,2.2
4,20,2,20,8.2,6.6
4,20,2,30,13.2,11.1
4,20,2,40,17.7,15.5
4,20,2,50,21,19.2
4,20,2,60,23.4,22.4
4,20,2,70,25.7,25.1
4,20,6,20,5,4.7
4,20,6,30,11.3,10.1
4,20,6,40,16.6,14.8
4,20,6,50,21.3,18.9
4,20,6,60,25.1,22.3
4,20,6,70,28,25.5
4,20,6,80,30.4,27.7
4,20,6,90,33,30.3
4,20,6,100,35.6,32.6
4,20,6,110,37.8,34.6
4,16,5,20,4.4,3.8
4,16,5,30,10.2,7.3
4,16,5,40,14.5,11.8
4,16,5,50,18.2,15.8
4,16,5,60,21.7,19.5
4,16,5,70,24.4,21.7
4,16,5,80,27.2,24.1
4,16,5,90,29.4,26.4
4,16,5,100,31,28.2
4,16,7,20,5.5,4
4,16,7,30,12.7,8.1
4,16,7,40,18.7,12.2
4,16,7,50,22.8,15.7
4,16,7,60,25.7,18.4
4,16,7,70,28.5,20.8
4,16,7,80,31,23.1
4,16,7,90,33.4,25.1
4,16,7,100,35.7,27
4,16,7,110,37.9,28.5
4,16,7,120,40.3,30
4,16,7,130,43.1,31.6
4,16,7,140,45.6,33.1
4,12,3,10,0.5,1.6
4,12,3,20,5.5,4.3
4,12,3,30,8.6,7.2
4,12,3,40,11.9,10.3
4,12,3,50,14.1,13
4,12,3,60,15.8,15.8
4,12,3,70,17.2,18.4
4,12,3,80,18.4,20.2
4,12,3,90,20.1,22.1
4,12,3,100,21.5,23.4
4,12,3,110,22.3,24.5
4,12,4,20,2.8,2.7
4,12,4,30,7,6.1
4,12,4,40,11.5,9.8
4,12,4,50,14.9,12.9
4,12,4,60,17.3,15.8
4,12,4,70,19.6,18
4,12,4,80,21.1,19.9
4,12,4,90,24.2,21.7
4,12,4,100,27.3,23.4
4,12,4,110,29.9,24.9
4,12,4,120,32,26
4,5,8,30,5,3.8
4,5,8,40,7.6,5.2
4,5,8,50,9.1,6.5
4,5,8,60,10.7,8.1
4,5,8,70,12.6,10.2
4,5,8,80,14.5,12.1
4,5,8,90,16.4,13.6
4,5,8,100,17.9,14.7
4,5,8,110,19.3,15.7
4,5,8,120,20,16.2
4,5,8,130,20.6,16.7
4,5,8,140,21.1,17.3
4,5,8,150,21.5,17.8
4,5,9,30,3.6,3.2
4,5,9,40,7.6,5.5
4,5,9,50,10.4,6.9
4,5,9,60,13,8.1
4,5,9,70,15.8,9.8
4,5,9,80,18.6,11.3
4,5,9,90,21,13.2
4,5,9,100,22.8,15.4
4,5,9,110,24.5,16.8
4,5,9,120,26.3,17.7
4,5,9,130,28.6,18.5
4,5,9,140,30.3,19.3
4,5,9,150,31.7,20.1
4,5,10,30,3.7,3.3
4,5,10,40,7,5.9
4,5,10,50,10.3,8.6
4,5,10,60,14.1,10.9
4,5,10,70,17.5,12.7
4,5,10,80,20.6,14.7
4,5,10,90,23.4,16.5
4,5,10,100,26,17.9
4,5,10,110,28.4,19.1
4,5,10,120,30.5,20.1
4,5,10,130,32.9,21
4,5,10,140,34.6,21.7
4,5,10,150,36.2,22.3
5,20,4,20,7.9,5.5
5,20,4,30,15.3,10.5
5,20,4,40,22.5,16
5,20,4,50,26.3,19.4
5,20,4,60,28.5,22.6
5,20,4,70,30.5,24.8
5,20,4,80,32.4,27.5
5,20,4,90,33.9,29.4
5,20,13,20,4.6,3.4
5,20,13,30,10.1,7.5
5,20,13,40,16.1,12.1
5,20,13,50,21.7,16.5
5,20,13,60,25.7,20.9
5,20,13,70,28.9,24.8
5,20,13,80,31.7,27.9
5,20,13,90,34.1,30.4
5,20,25,10,0.5,1.5
5,20,25,20,8,6.2
5,20,25,30,14.8,11.1
5,20,25,40,19.5,15.3
5,20,25,50,23.1,18.9
5,20,25,60,26.5,21.9
5,20,25,70,29.7,24.8
5,20,25,80,33.1,27.7
5,20,25,90,35.5,29.7
5,20,25,100,38.5,31.5
5,20,25,110,40.9,33.1
5,20,25,120,43.6,34.8
5,20,25,130,46.4,36.4
5,20,25,140,49.3,38
5,20,25,150,51.8,39.3
5,16,2,20,5.6,4.4
5,16,2,30,11.5,9
5,16,2,40,17.3,13.4
5,16,2,50,20.4,16.8
5,16,2,60,22.6,20.1
5,16,2,70,24.7,22.7
5,16,2,80,26.5,25.2
5,16,3,10,0.7,1.8
5,16,3,20,6.4,5.6
5,16,3,30,11.5,11.3
5,16,3,40,16.1,16.2
5,16,3,50,18.9,18.9
5,16,3,60,21.3,21.7
5,16,3,70,23.8,24.2
5,16,3,80,25.8,26.8
5,16,6,20,5.7,4.1
5,16,6,30,10.7,7.2
5,16,6,40,14.7,10.7
5,16,6,50,17.8,13.7
5,16,6,60,20,16.2
5,16,6,70,22,18.9
5,16,6,80,23.8,21.4
5,16,6,90,25.5,23.1
5,16,7,20,5.1,4.1
5,16,7,30,10.8,8.2
5,16,7,40,14.5,11.9
5,16,7,50,17.9,15.4
5,16,7,60,20.3,18.6
5,16,7,70,22.4,21.2
5,16,7,80,24,23.6
5,16,7,90,25.2,25.3
5,16,8,20,9.2,5.2
5,16,8,30,17.8,10.2
5,16,8,40,23.6,15
5,16,8,50,28.2,18.5
5,16,8,60,30.3,21.5
5,16,8,70,32,23.8
5,16,8,80,33.4,25.3
5,16,8,90,34.4,26.5
5,16,9,20,4.2,3.8
5,16,9,30,8.9,7.4
5,16,9,40,12.6,11.5
5,16,9,50,15.6,15.5
5,16,9,60,17.8,18.6
5,16,9,70,19.9,21.2
5,16,9,80,21.8,23.6
5,16,9,90,23.5,25.6
5,16,10,10,0.3,1.5
5,16,10,20,6.6,4.9
5,16,10,30,10.9,9.3
5,16,10,40,15.1,13.4
5,16,10,50,18,16.7
5,16,10,60,20.3,19.2
5,16,10,70,22.2,21.4
5,16,10,80,24.1,23.4
5,16,10,90,25.5,24.9
5,16,11,10,1.7,1.8
5,16,11,20,8,6.7
5,16,11,30,12.3,11.5
5,16,11,40,15.6,15.8
5,16,11,50,18.2,19.2
5,16,11,60,20.6,22
5,16,11,70,22.7,24
5,16,11,80,24.4,25.6
5,16,11,90,26.1,27
5,16,12,10,0.8,1.7
5,16,12,20,10.1,7.1
5,16,12,30,15.8,11.5
5,16,12,40,19.1,15.9
5,16,12,50,21.3,18.5
5,16,12,60,22.7,20.8
5,16,12,70,23.9,22.7
5,16,12,80,25,24.7
5,16,12,90,26,26.5
5,16,14,20,3,2.4
5,16,14,30,9.6,8.5
5,16,14,40,15.8,13.7
5,16,14,50,20.9,17.7
5,16,14,60,24.6,21.7
5,16,14,70,27.7,24.2
5,16,14,80,30.5,25.8
5,16,14,90,32.9,28
5,16,14,100,34.7,30
5,16,14,110,36.4,31.1
5,16,15,20,6.2,5.1
5,16,15,30,12.2,10.5
5,16,15,40,18,14.9
5,16,15,50,21.4,17.5
5,16,15,60,23.6,19.6
5,16,15,70,25,21.2
5,16,15,80,26.6,22.8
5,16,15,90,28.3,24.4
5,16,15,100,29.9,25.8
5,16,15,110,31.1,27
5,16,17,10,2.4,2.3
5,16,17,20,10.1,7.6
5,16,17,30,14,11.3
5,16,17,40,16.8,14.5
5,16,17,50,18.3,16.2
5,16,17,60,20.5,18
5,16,17,70,22.5,19.8
5,16,17,80,24.7,21.8
5,16,17,90,26.5,23.8
5,16,17,100,27.9,25.6
5,16,17,110,29,27.2
5,16,18,10,0.6,1.7
5,16,18,20,6,6.7
5,16,18,30,12.7,12.8
5,16,18,40,16.8,17
5,16,18,50,20.1,20.4
5,16,18,60,22.8,23.5
5,16,18,70,24.7,26
5,16,18,80,26.2,28
5,16,18,90,27.4,29.8
5,16,18,100,28.1,31.3
5,16,19,10,1.9,2
5,16,19,20,11.5,7.4
5,16,19,30,17.4,11.9
5,16,19,40,21.9,15.9
5,16,19,50,24.8,19
5,16,19,60,27,20.9
5,16,19,70,28.8,22.5
5,16,19,80,30.4,24.3
5,16,19,90,32,26.5
5,16,19,100,33.7,28.3
5,16,19,110,35.2,29.8
5,16,21,20,5.2,4.3
5,16,21,30,11.3,8.6
5,16,21,40,16.4,13.1
5,16,21,50,20.1,17.7
5,16,21,60,23.2,21.2
5,16,21,70,25.3,24.1
5,16,21,80,27.3,26.6
5,16,21,90,29.2,28.5
5,16,21,100,30.9,29.9
5,16,21,110,32.4,31.1
5,16,21,120,33.9,31.9
5,16,21,130,35.8,32.6
5,16,22,20,4.8,3.5
5,16,22,30,10.2,6.5
5,16,22,40,15.8,11.2
5,16,22,50,20.5,15.6
5,16,22,60,25.1,19.7
5,16,22,70,28.9,23.1
5,16,22,80,32.1,25.7
5,16,22,90,34.9,27.9
5,16,22,100,37,29.1
5,16,22,110,39.4,30.4
5,16,22,120,41.4,31.3
5,16,22,130,43.2,31.9
5,16,23,20,7.4,4.8
5,16,23,30,12.3,8.5
5,16,23,40,15.8,12.2
5,16,23,50,18.3,16
5,16,23,60,20.2,18.8
5,16,23,70,21.5,21.1
5,16,23,80,22.7,22.6
5,16,23,90,23.9,24.1
5,16,23,100,24.9,25.6
5,16,23,110,25.8,26.9
5,16,23,120,26.5,28
5,16,23,130,27.1,29.2
5,16,23,140,28,30.4
5,16,23,150,29,31.7
5,16,24,20,6.5,5
5,16,24,30,11.7,9.6
5,16,24,40,17.4,13.2
5,16,24,50,22.1,16.5
5,16,24,60,25.6,19.4
5,16,24,70,27.6,21.4
5,16,24,80,29.8,23
5,16,24,90,31,25.1
5,16,24,100,32.3,26.5
5,16,24,110,33.7,27.8
5,16,24,120,35.1,29.1
5,16,24,130,36.9,30.6
5,16,24,140,38.7,32.2
5,16,24,150,40.1,33.4
5,16,26,10,2,2
5,16,26,20,6.5,6
5,16,26,30,12.6,9.1
5,16,26,40,16.5,12.3
5,16,26,50,20.6,15.5
5,16,26,60,24.1,18.6
5,16,26,70,26.5,21
5,16,26,80,28.5,23.1
5,16,26,90,30.1,25.1
5,16,26,100,31.9,26.6
5,16,26,110,33.1,27.8
5,16,26,120,34.2,28.8
5,16,26,130,35.2,29.7
5,16,26,140,36.3,30.7
5,16,26,150,37.5,31.8
5,12,1,20,4,3.5
5,12,1,30,7.7,6.3
5,12,1,40,12.7,10.4
5,12,1,50,15.2,13.4
5,12,1,60,17,16.7
5,12,1,70,18.7,18.8
5,12,1,80,20.2,20.9
5,12,1,90,21.5,23
5,12,20,20,1.4,2.2
5,12,20,30,6,5.7
5,12,20,40,9.7,9.4
5,12,20,50,12.6,12.9
5,12,20,60,14,15.6
5,12,20,70,16,17.9
5,12,20,80,18.1,20.2
5,12,20,90,19.6,22.4
5,12,20,100,21,23.5
5,12,20,110,22.8,24.2
5,12,27,20,1,2
5,12,27,30,5.5,4
5,12,27,40,8.5,6.2
5,12,27,50,11.6,9.1
5,12,27,60,14.7,12.5
5,12,27,70,17.8,15.8
5,12,27,80,21,18.4
5,12,27,90,24.2,20.6
5,12,27,100,26.8,21.9
5,12,27,110,28.9,23
5,12,27,120,31.2,24.1
5,12,27,130,33.2,25.3
5,12,27,140,35.6,26.4
5,12,28,30,3.2,2.9
5,12,28,40,6.6,4.9
5,12,28,50,9.9,7.9
5,12,28,60,13.9,10.9
5,12,28,70,18.2,14.2
5,12,28,80,21.8,17.7
5,12,28,90,24.7,20.3
5,12,28,100,27.1,22.1
5,12,28,110,29.2,23.2
5,12,28,120,30.9,24.1
5,12,28,130,32.4,25
5,12,28,140,33.5,25.8
5,12,28,150,34.9,26.6
5,12,29,20,1.3,1.8
5,12,29,30,4,3.5
5,12,29,40,7.2,5.7
5,12,29,50,10.3,8.2
5,12,29,60,12.9,11.1
5,12,29,70,14.9,13.8
5,12,29,80,16.6,16
5,12,29,90,18.5,18.1
5,12,29,100,20,19.7
5,12,29,110,21.9,21.3
5,12,29,120,23.3,22.6
5,12,29,130,25.2,23.8
5,12,29,140,27.1,25
5,12,29,150,28.7,26.1
5,12,30,20,1.3,1.9
5,12,30,30,3.8,3.1
5,12,30,40,8.7,6.3
5,12,30,50,12.9,9.7
5,12,30,60,17.2,11.9
5,12,30,70,19.6,13.9
5,12,30,80,21.4,15.7
5,12,30,90,22.9,17.4
5,12,30,100,23.8,18.8
5,12,30,110,25.8,20.2
5,12,30,120,27.2,21.4
5,12,30,130,28.5,22.6
5,12,30,140,30.2,23.8
5,12,30,150,31.6,24.9
5,12,31,20,0.5,1.6
5,12,31,30,7.1,4.5
5,12,31,40,12.9,8.2
5,12,31,50,18.2,10.8
5,12,31,60,21.4,12.7
5,12,31,70,24.5,15.4
5,12,31,80,27.9,17.9
5,12,31,90,29.3,19.8
5,12,31,100,31.3,21.7
5,12,31,110,32.9,23.7
5,12,31,120,34.2,25.4
5,12,31,130,35.7,26.9
5,12,31,140,37.2,28.3
5,12,31,150,38.9,29.5
5,9,34,30,3.8,3.3
5,9,34,40,6.9,6.3
5,9,34,50,10.2,9.1
5,9,34,60,12.9,11.7
5,9,34,70,14.4,13.5
5,9,34,80,15.6,14.9
5,9,34,90,16.7,16.2
5,9,34,100,18.1,17.7
5,9,34,110,19.7,19.6
5,9,34,120,20.9,20.8
5,9,35,20,0.9,1.8
5,9,35,30,6.4,5
5,9,35,40,9.6,7.2
5,9,35,50,13.4,10.3
5,9,35,60,17,13
5,9,35,70,19.7,15.1
5,9,35,80,21.8,16.9
5,9,35,90,24,18.7
5,9,35,100,25.9,20.3
5,9,35,110,27.5,21.6
5,9,36,20,3.7,3.3
5,9,36,30,6.5,5.8
5,9,36,40,8.7,7.5
5,9,36,50,10.1,8.7
5,9,36,60,11.5,9.8
5,9,36,70,13,10.9
5,9,36,80,14.1,11.9
5,9,36,90,15.6,13.1
5,9,36,100,16.8,14.3
5,9,36,110,17.7,15.4
5,9,37,20,2.9,2.8
5,9,37,30,6.5,4.8
5,9,37,40,9.5,7.2
5,9,37,50,12.6,9.5
5,9,37,60,14.8,11.8
5,9,37,70,16.5,13
5,9,37,80,18.6,14.7
5,9,37,90,20,15.8
5,9,37,100,21.6,17.4
5,9,37,110,22.9,18.7
5,9,37,120,24.1,19.8
5,9,37,130,25.1,20.9
5,9,38,20,3,2.6
5,9,38,30,6.5,4.7
5,9,38,40,9.4,7.2
5,9,38,50,12.2,9.8
5,9,38,60,14.3,12
5,9,38,70,16,13.8
5,9,38,80,17.4,15.2
5,9,38,90,18.8,16.6
5,9,38,100,20.3,18.1
5,9,38,110,21.6,19.5
5,9,38,120,23,20.9
5,9,39,20,5.6,4.1
5,9,39,30,11.2,6.7
5,9,39,40,14.8,9.2
5,9,39,50,18.3,11.5
5,9,39,60,21.1,13.7
5,9,39,70,24,15.7
5,9,39,80,26.1,17.2
5,9,39,90,27.9,18.6
5,9,39,100,30,20.3
5,9,39,110,31.9,21.9
5,9,39,120,33.7,23.1
5,9,40,20,1.5,2.1
5,9,40,30,6.1,5
5,9,40,40,9.3,7.7
5,9,40,50,12.5,9.9
5,9,40,60,14.3,11.9
5,9,40,70,15.7,13.7
5,9,40,80,16.3,14.7
5,9,40,90,17,15.7
5,9,40,100,17.6,16.5
5,9,40,110,18.4,17.4
5,9,40,120,18.9,18.2
5,9,40,130,19.5,18.9
5,9,40,140,19.9,19.6
5,9,40,150,20.3,20.1
5,9,41,20,1.3,1.9
5,9,41,30,4.4,3.6
5,9,41,40,6.9,5.3
5,9,41,50,9,7.2
5,9,41,60,10.8,9.2
5,9,41,70,12.6,11.2
5,9,41,80,14.4,12.9
5,9,41,90,15.9,14.5
5,9,41,100,17.6,15.9
5,9,41,110,19.1,17.2
5,9,41,120,20.8,18.6
5,9,41,130,22.5,19.9
5,9,41,140,24.2,21
5,9,41,150,25.7,22
5,9,42,20,2.7,2.4
5,9,42,30,5.7,3.8
5,9,42,40,8,5.7
5,9,42,50,10.8,8.4
5,9,42,60,14,10.9
5,9,42,70,16.2,13
5,9,42,80,17.6,14.8
5,9,42,90,19.1,16.5
5,9,42,100,20.6,18
5,9,42,110,21.8,19.2
5,9,42,120,22.9,20.4
5,9,42,130,24,21.5
5,9,42,140,25,22.5
5,9,42,150,25.9,23.3
5,9,43,30,5,3.1
5,9,43,40,8.4,4.6
5,9,43,50,11.2,7.5
5,9,43,60,14.3,9.8
5,9,43,70,16.5,11.7
5,9,43,80,18.4,13.6
5,9,43,90,20.1,15.5
5,9,43,100,22,17
5,9,43,110,23.7,18.6
5,9,43,120,25.7,20.3
5,9,43,130,27.2,21.5
5,9,43,140,29.1,22.7
5,9,43,150,31.4,23.7
5,9,44,20,2.7,3
